NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG,FPpG_next,GP_next,FP_total,FP_total_next
BONES HYLAND,2023,23.6,37,Lac,G,14.599999999999998,6.9,1.5,2.5,0.7,0.1,1.2,13.65,11.176666666666668,24.0,505.05,268.24
BRAD WANAMAKER,2020,31.81,61,Gol,G,17.262295081967213,5.49344262295082,1.736065573770492,2.8245901639344266,0.691639344262295,0.17885245901639343,1.166393442622951,13.258688524590163,10.001739130434784,23.0,808.78,230.04000000000002
BRADLEY BEAL,2020,27.89,60,Was,G,35.8,31.3,4.7,4.4,1.15,0.37,3.12,44.980000000000004,39.199999999999996,40.0,2698.8,1567.9999999999998
BRADLEY BEAL,2021,28.79,40,Was,G,36.0,23.2,4.7,6.6,0.9,0.38,3.38,39.199999999999996,38.78000000000001,50.0,1567.9999999999998,1939.0000000000005
BRADLEY BEAL,2022,29.8,50,Was,G,33.5,23.2,3.9,5.4,0.9,0.7,2.9,38.78000000000001,32.980000000000004,53.0,1939.0000000000005,1747.9400000000003
BRADLEY BEAL,2023,30.8,53,Pho,G,33.3,18.2,4.4,5.0,1.0,0.5,2.5,32.980000000000004,29.410000000000004,53.0,1747.9400000000003,1558.7300000000002
BRANDIN PODZIEMSKI,2023,21.1,74,Gol,G,26.6,9.2,5.8,3.7,0.8,0.2,1.2,23.51,25.620000000000005,64.0,1739.74,1639.6800000000003
BRANDON BOSTON JR,2021,20.37,51,Lac,G,14.9,6.7,2.2,1.0,0.51,0.25,0.61,12.51,9.629999999999999,22.0,638.01,211.85999999999999
BRANDON BOSTON JR,2022,21.4,22,Lac,G,11.3,6.5,1.4,0.9,0.4,0.0,0.5,9.629999999999999,8.72,32.0,211.85999999999999,279.04
BRANDON BOSTON JR,2023,22.4,32,Lac,G,10.8,5.2,1.6,0.4,0.3,0.3,0.8,8.72,21.140000000000004,42.0,279.04,887.8800000000002
