NAME,POS,FP_total_pred,MC_mean,MC_std,MC_p10,MC_p50,MC_p90
TYUS JONES,G,1460.879671523303,1463.2442866756483,326.0357771589723,1054.6748223826683,1461.4810804813114,1879.0854595035335
DENNIS SCHRODER,G,1449.5154401768518,1450.2905617340202,154.6430080601142,1255.8770042790777,1444.7266683004755,1650.9714496722065
RUSSELL WESTBROOK,G,1442.0160108740758,1449.907208418398,595.2135627446572,698.2384597193026,1435.3938979327356,2234.9369364720833
BRADLEY BEAL,G,1425.588430265077,1429.0810280040828,352.6155964514163,987.6388694229656,1421.2822381853007,1887.5620638073233
JONATHAN KUMINGA,F,1418.6780983074416,1417.5638025549454,321.7674062228352,1016.9191980160566,1410.259538149569,1832.30740074621
JEREMY SOCHAN,F,1417.909100322319,1416.469192306843,163.2338052619914,1209.422317053864,1413.7755956189694,1629.4757766150967
DILLON BROOKS,G-F,1415.2755214248955,1414.335014474894,236.19416231250875,1115.5594881619718,1410.8266700705008,1715.9820890958476
JONAS VALANCIUNAS,C,1406.6655480403476,1411.5568523044526,354.812415136432,967.7081854398685,1403.3296823422402,1872.2435208124903
KYLE FILIPOWSKI,C,1400.279056394565,1420.9071283804647,783.2884091345775,376.52043788778775,1403.7026765944822,2450.6471960495223
AARON WIGGINS,G,1397.9886742968044,1396.5948982705142,265.7907610315371,1060.2473233098297,1392.1337940930648,1733.966691829004
WENDELL CARTER JR,C-F,1390.167998517888,1390.990183758862,298.10864556626126,1007.9658251345317,1386.1704941245252,1777.5710337081582
KEON JOHNSON,G,1389.4674192563812,1389.9720062165582,363.82238152096477,931.8869351058981,1381.4048150980282,1863.8384801276775
DONOVAN CLINGAN,C,1389.4271103065269,1395.7326809831998,743.9295555391683,423.5700625891177,1376.4739420182937,2383.29608336595
KYLE KUZMA,F,1377.0364241149698,1383.98897985065,383.6374443911446,894.1099872745489,1378.0877284378976,1874.0807968452216
AARON GORDON,F,1359.7486449741646,1359.7431567879287,178.2927797494051,1132.6270017005459,1354.7287068304056,1592.001383448877
ANTHONY BLACK,G,1358.403272551796,1358.761792712195,455.264804291592,776.1560069838458,1357.3521542025774,1950.9235283638545
CHRIS PAUL,G,1358.1169117258946,1359.7323009768686,390.2224394128051,858.6079342414681,1361.6341739588556,1855.4953555189734
RUI HACHIMURA,F,1354.7871070260078,1353.7657531509058,161.63075484978106,1147.2524882338648,1351.5801369370533,1562.1100080652348
GOGA BITADZE,C-F,1353.0378198043113,1348.3958654004985,253.09201763847645,1028.2161601430796,1342.3708131199576,1676.8591652879597
GRADEY DICK,G-F,1352.4480882947348,1351.206777500469,408.503167424785,830.6287592300155,1344.1381707836929,1878.2001121178052
ISAIAH COLLIER,G,1348.7332185108758,1356.5157308446448,674.0252337155886,463.36289961319653,1344.510721501093,2237.3718732298303
BRANDON INGRAM,F,1345.579807569903,1341.5319399288078,178.5805429989726,1116.8788592107,1339.6603000552832,1569.42837610974
AUSAR THOMPSON,G-F,1344.8113965260843,1345.1286723840435,120.71997462452016,1191.1979087482887,1343.3665795662546,1500.4239192596324
JULIAN CHAMPAGNIE,F,1339.1000297893277,1339.4110309810164,156.17763747274967,1139.9909247932303,1337.842185180301,1538.2995141283463
ANDREW NEMBHARD,G-F,1338.150728826162,1336.9508915929534,180.20021824034978,1107.5656398458173,1333.5622979787008,1570.5999319287243
JAYLEN WELLS,F,1336.6146158549964,1331.072348208856,736.5454570808521,345.134621947421,1311.5715138777746,2308.8841518205713
SPENCER DINWIDDIE,G,1314.0263425056248,1313.644120882819,406.71648975331607,797.5011505352129,1307.0096138934655,1843.6364266485145
D'ANGELO RUSSELL,G,1311.3776194994246,1311.0796975644448,205.9523946717675,1051.760605337505,1305.983852343808,1577.8739737189937
TY JEROME,G-F,1308.9537466534907,1312.128732617644,414.407310670435,790.3003728667197,1304.3404642598757,1852.2324312909516
CASON WALLACE,G,1307.5867603381212,1308.2562506350887,304.7685179329663,918.2011984325603,1305.1892069530459,1699.8122352293747
KEVIN PORTER JR,G-F,1304.0144933634294,1300.3851384195962,324.00577961873984,891.3475340880286,1296.033164220185,1722.2582675085166
AYO DOSUNMU,G,1300.3300216575003,1303.5696739850548,234.67270533031385,1003.8508757011916,1300.8849100646873,1608.9830812057323
HARRISON BARNES,F,1298.6314803708638,1302.0269366486684,322.6593069458058,889.135697546586,1300.1143409334302,1718.365206257354
GUERSCHON YABUSELE,F,1295.5353040316563,1292.295416204121,677.6015069004173,388.464442415497,1274.970702618076,2181.145331045169
MAX CHRISTIE,G,1293.7537006499756,1300.8765245288223,424.3829054262906,760.6001193868007,1294.935133152836,1854.9860431089926
OBI TOPPIN,F,1292.9693606522912,1292.599498177876,294.9921851707528,920.9631668748093,1285.3240698600594,1674.9312888534241
MATAS BUZELIS,F,1292.4298880768968,1298.9596402510088,678.7741966584332,400.7478944179778,1287.7419562954242,2193.871947471052
DRAYMOND GREEN,F,1292.358963934185,1293.6133374673207,137.64870236880134,1120.24947471421,1289.5236315191632,1473.490370693508
KYSHAWN GEORGE,F,1287.9615129306137,1303.2043418579444,664.3595641921373,431.6494719217047,1285.5336960156687,2176.885583751796
LUGUENTZ DORT,G,1282.7017330526053,1280.3981122594873,172.1099395651792,1063.4706269734,1277.8784979269155,1503.7291507533673
CARIS LEVERT,G,1278.3863095746913,1278.814276177254,321.27423071998675,876.0493314444968,1270.0247311580833,1699.3633475185957
DERECK LIVELY II,C,1276.3149731343242,1277.8816912812124,148.10458634707834,1094.3717103763145,1272.0318841539674,1469.1902536606804
DONTE DIVINCENZO,G,1265.7199027646664,1263.2114333577224,178.39677978859598,1039.408159399571,1259.9447769493927,1494.880245685946
NICKEIL ALEXANDER-WALKER,G,1247.4900121488415,1242.581752738871,230.05073480991493,950.4864805770484,1235.3219741442563,1540.4130110559458
JALEN SUGGS,G,1246.087554733525,1247.2030209045809,229.12072207026623,958.0774390985407,1238.7653499340513,1546.7324212759543
JADEN IVEY,G,1245.637300608701,1244.5956045624919,145.3641171803567,1060.5185976788762,1240.979496395402,1432.805661076063
PAUL GEORGE,F,1245.3384590605076,1245.0439562605163,233.39641236099158,954.9144535217168,1236.775103135023,1546.5609866864454
KLAY THOMPSON,G,1226.44229834504,1229.9429114502484,252.91769871012093,909.7482707887307,1223.3381636324195,1556.6044565393195
ISAIAH STEWART,F-C,1213.7828703046089,1216.8862913137286,167.3355887341338,1007.8190756625921,1211.7637631900916,1434.6831592489884
PEYTON WATSON,G,1213.314378038942,1212.428020309845,369.8126078419807,738.2107262494336,1208.3178933869044,1687.757020675493
MOSES MOODY,G,1198.7541398490418,1202.3672667959086,306.11669882892187,814.2324066837122,1197.982072782811,1596.029389567451
MILES MCBRIDE,G,1198.6924073217149,1194.1489414684418,401.1327923945676,687.4760626174301,1183.108668138757,1705.677889995813
OCHAI AGBAJI,G,1198.0105962270638,1195.7593988319375,240.68986999771056,893.1776101277511,1192.5653757339703,1503.7030097703298
JRUE HOLIDAY,G,1197.7776875377494,1195.0990465997788,342.17330084615,766.6605929365722,1187.127923721243,1641.9679016734933
KEON ELLIS,G,1191.2636534423114,1198.2198433295218,521.6896126194241,522.9738227647201,1187.5193188548742,1883.5448287197335
JUSTIN CHAMPAGNIE,G-F,1183.622680448923,1175.6760128177048,426.87711884447856,630.4995627509954,1171.949798356724,1721.9901929033713
ZIAIRE WILLIAMS,F,1179.6240161433318,1181.354397868528,257.4324307428624,856.2510929442169,1174.5642637040717,1519.2210299595192
JERAMI GRANT,F,1178.1164759813262,1182.6331895455312,201.87135518146923,928.2494954450265,1175.1413853391855,1450.2854935506862
JALEN WILSON,F,1166.9893070589842,1164.6456228916836,298.01548132542575,784.2211269250587,1161.3489877145046,1546.1768893649335
ROYCE O'NEALE,F,1160.0379904412212,1161.241963483521,94.6467290386404,1041.5449973409675,1160.320115496906,1284.6216607665187
CLINT CAPELA,C,1159.9853364276082,1160.4705963501033,320.01559191537996,763.8837118795126,1151.4005125330498,1581.4047408618683
NICK RICHARDS,C,1158.2466347747418,1167.2239446470467,552.0784816494947,455.57108179850815,1152.212586751059,1877.386076293109
BRICE SENSABAUGH,F,1157.1437427623516,1158.818320009567,154.06190101719716,963.0340853433411,1155.8970374459427,1356.2631321013441
GARY TRENT JR,G,1154.2727668002651,1151.5449996463678,276.22077000334997,797.9590998828386,1149.8089365272726,1507.6997889154882
ISAIAH JOE,G,1153.170327445921,1157.2932092698366,344.6713427351466,715.514951557373,1153.3076755949194,1600.382791485523
JOSE ALVARADO,G,1152.4357270972964,1150.309580855761,198.5194750133105,902.4083143162247,1141.612915121144,1412.2850590775095
KEVIN HUERTER,G-F,1142.5075709818166,1140.6357363781403,171.0157277393947,922.4863464003087,1135.0282605740963,1367.7559465494708
TJ MCCONNELL,G,1141.179111339387,1143.9877335080919,177.69864762996463,919.2120513020996,1139.365788895429,1374.4969757765161
BUDDY HIELD,G,1135.3188830052702,1138.5335276262656,266.41263876291856,798.6214382659035,1134.330743719329,1481.6810297051625
NIKOLA JOVIC,F,1133.68789068604,1138.5255566569713,337.7430404902226,717.8346639385495,1125.8936875022778,1583.884018823779
JALEN SMITH,F-C,1132.7541407350411,1134.167942847288,401.87178378767646,630.2430555179028,1128.0904235110308,1649.210040717352
DAVION MITCHELL,G,1124.6815198118943,1128.679697247012,371.11696613370765,657.4846482640723,1124.0344121507844,1605.3611961960862
COLE ANTHONY,G,1121.1637108165785,1121.6874804502745,256.700354980202,796.6738625529938,1115.5262945352174,1451.695770191533
JAIME JAQUEZ JR,G,1101.7911124802515,1102.4702725185402,157.17897844402603,902.61235141079,1099.4111615294237,1303.2092914537277
DERRICK JONES JR,F,1100.5862771132151,1099.1065799961673,179.18472339070456,873.7614624180064,1094.8482057144574,1330.0859395296416
DAY'RON SHARPE,C,1081.6456968487762,1081.0314877659175,213.87764775523334,812.2736726176,1074.7714023061515,1361.8175419049858
COREY KISPERT,F,1079.0210818017442,1077.5479480233491,164.946318272383,867.5368988509673,1074.2287010025025,1294.5808691310897
LUKE KORNET,C-F,1073.9678938772008,1073.931631073817,288.37970819906644,702.9990795721826,1067.3440486522932,1446.888009083264
PATRICK WILLIAMS,F,1072.4621236239147,1072.0259088305368,115.34287125338346,924.9386095845344,1069.949692882398,1220.2940184020224
AARON NESMITH,G-F,1067.4999571953715,1072.1008992569054,396.6232256333135,571.54956472965,1059.4399869919616,1591.379540335483
DALTON KNECHT,F,1063.4226005772125,1079.2793345702526,659.8128806364568,174.00636259112454,1051.175664028935,1959.338710948408
MOUSSA DIABATE,F,1052.670783182827,1052.370689780972,331.4439032319467,619.7958062141367,1050.6075456183116,1476.795727035858
JAMAL SHEAD,G,1047.73626873081,1067.425835964147,642.7023746041085,177.85586997375165,1054.0279905824448,1922.1978795469513
RYAN DUNN,F,1045.949342855139,1060.8913936573613,632.4718733648275,199.08676181382663,1041.6334450942625,1890.8899743645663
